"TOA5","Hygra_La_Plata_Climate","CR1000","22748","CR1000.Std.31","CPU:AGGO_Climate_Mast_20170304.CR1","29539","Climate"
"TIMESTAMP","RECORD",LoggerTemp_Avg,Precipitation_Climate,SM_5cm_Mean_PWC,AirTemp_Avg,RelativHumidity_Avg,WindSpeed_Avg,WindSpeed_Max,WindDir,Net_Shortwave_Min,Net_Shortwave_Max,Net_Shortwave_Avg,Net_Longwave_Min,Net_Longwave_Max,Net_Longwave_Avg,Net_Rad_Avg
"TS","RN","°C","mm/15min","","°C","%","m/s","m/s","°","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²"
"","","Avg","Tot","Avg","Avg","Avg","Avg","Max","Smp","Min","Max","Avg","Min","Max","Avg","Avg"
"2016-05-07 23:00:00",1,8.15,0,NaN,8.8,92.9,0.531,0.588,312.1,-4.169952,-3.950518,-4.060235,-45.55831,-45.55789,-45.5581,-49.61833
"2016-05-07 23:15:00",2,7.971,0,NaN,8.83,92.8,0.501,0.662,307.4,-4.608961,-3.730962,-4.023652,-45.55855,-44.99225,-45.27505,-49.2987
"2016-05-07 23:30:00",3,7.818,0,NaN,8.92,92.4,0.388,0.481,296,-4.608984,-4.170025,-4.316347,-45.55876,-45.27581,-45.46442,-49.78077
"2016-05-07 23:45:00",4,7.722,0,NaN,8.9,92.2,0.404,0.469,309.3,-4.608984,-3.950558,-4.243192,-44.42689,-43.295,-43.86094,-48.10413
"2016-05-08 00:00:00",5,7.663,0,NaN,8.84,92.6,0.457,0.56,314.6,-4.170034,-3.950558,-4.023716,-45.55879,-43.86094,-44.99284,-49.01655
"2016-05-08 00:15:00",6,7.604,0,NaN,8.67,92.8,0.528,0.61,315.9,-4.170034,-3.731082,-3.950558,-46.12473,-44.70986,-45.46446,-49.41502
"2016-05-08 00:30:00",7,7.553,0,NaN,8.58,93.1,0.421,0.594,315,-4.170034,-3.511607,-3.731082,-45.55879,-31.4101,-40.74823,-44.47931
"2016-05-08 00:45:00",8,7.568,0,NaN,8.86,92.8,0.406,0.532,354.5,-2.194754,-1.975278,-2.121596,-26.31656,-13.86572,-20.18547,-22.30706
"2016-05-08 01:00:00",9,7.809,0,NaN,9.23,91.6,0.275,0.342,21.03,-3.072657,-2.194754,-2.633705,-19.52519,-13.86572,-16.03519,-18.66889
"2016-05-08 01:15:00",10,8.13,0,NaN,9.45,90.5,0.129,0.151,206.2,-2.633695,-2.194721,-2.487366,-8.772156,-6.508299,-7.640227,-10.12759
"2016-05-08 01:30:00",11,8.45,0,NaN,9.61,90.4,0.246,0.311,8.29,-2.633688,-1.975261,-2.19474,-14.71454,-9.903995,-12.26212,-14.45686
"2016-05-08 01:45:00",12,8.75,0,NaN,9.68,90.6,0.221,0.282,273,-1.316842,-0.8778728,-1.024197,-8.771898,-5.9424,-7.45146,-8.475657
"2016-05-08 02:00:00",13,8.98,0,NaN,9.79,91,0.277,0.348,3.845,-1.755745,-0.2194638,-0.8047154,-26.88162,-5.093259,-13.20498,-14.00969
"2016-05-08 02:15:00",14,9.16,0,NaN,9.87,91.4,0.353,0.386,302,-2.194608,-1.316777,-1.60939,-32.53982,-18.39224,-24.23997,-25.84936
"2016-05-08 02:30:00",15,9.24,0,NaN,9.88,91.7,0.335,0.421,4.229,-3.730886,-2.194633,-2.853017,-50.64965,-34.23795,-41.97204,-44.82506
"2016-05-08 02:45:00",16,9.18,0,NaN,9.46,93.3,0.537,0.63,312.6,-3.950377,-3.730886,-3.804054,-53.7622,-50.08391,-52.44191,-56.24596
"2016-05-08 03:00:00",17,8.92,0,NaN,9.03,95,0.712,0.792,323.4,-3.730873,-3.292005,-3.511446,-52.91389,-51.49924,-52.44209,-55.95354
"2016-05-08 03:15:00",18,8.66,0,NaN,9.04,96.1,0.764,0.995,237,-3.511436,-3.07253,-3.291972,-50.64952,-47.53727,-49.04642,-52.33839
"2016-05-08 03:30:00",19,8.47,0,NaN,9.28,96.8,0.699,0.868,308.9,-2.853129,-2.194728,-2.560486,-44.99106,-41.87936,-43.19964,-45.76013
"2016-05-08 03:45:00",20,8.44,0,NaN,9.83,97.2,0.787,0.887,313.4,-2.194712,-1.316843,-1.902089,-39.61552,-25.18448,-33.579,-35.48108
"2016-05-08 04:00:00",21,8.63,0,NaN,10.28,96.4,0.729,0.778,302.2,-3.511531,-2.194748,-2.706829,-31.97535,-30.27811,-31.03244,-33.73927
"2016-05-08 04:15:00",22,8.89,0,NaN,10.34,96.6,0.783,0.841,323.1,-1.316849,0,-0.5852618,-13.86568,-0.2829647,-5.093501,-5.678762
"2016-05-08 04:30:00",23,9.3,0,NaN,10.82,96.3,0.647,0.713,326.7,-1.316781,-0.4389382,-1.024162,-11.03526,0,-5.470489,-6.494651
"2016-05-08 04:45:00",24,9.71,0,NaN,11.17,95.7,0.562,0.652,326.1,-1.755665,-0.6583421,-1.389838,-14.99644,-3.395251,-7.450883,-8.840721
"2016-05-08 05:00:00",25,10.06,0,NaN,11.63,95.2,0.501,0.589,233.1,-1.316585,-0.8776958,-1.170265,-8.20413,-7.072906,-7.544209,-8.714474
"2016-05-08 05:15:00",26,10.47,0,NaN,11.96,94.6,0.395,0.447,322.1,-1.316488,-0.8776476,-1.170199,-7.638177,-2.263135,-5.280666,-6.450866
"2016-05-08 05:30:00",27,10.83,0,NaN,12.14,94.5,0.382,0.6,232.4,-0.8776384,-0.4388123,-0.5850887,-3.394614,0,-1.414427,-1.999516
"2016-05-08 05:45:00",28,11.17,0,NaN,12.25,94.5,0.334,0.357,315.5,-0.877634,-0.8776238,-0.8776288,-1.13155,-0.5657684,-0.7543634,-1.631992
"2016-05-08 06:00:00",29,11.43,0,NaN,12.33,94.6,0.269,0.332,192.5,-0.8776193,-0.2193958,-0.5119368,-1.131495,-0.5657421,-0.7543341,-1.266271
"2016-05-08 06:15:00",30,11.68,0,NaN,12.32,95.2,0.338,0.542,319.5,-0.2193949,0,-0.07313164,-1.69722,-1.131426,-1.508617,-1.581749
"2016-05-08 06:30:00",31,11.86,0,NaN,12.41,95.1,0.329,0.349,1.73,0,0,0,-2.262819,-1.131357,-1.508518,-1.508518
"2016-05-08 06:45:00",32,12.01,0,NaN,12.48,95.2,0.328,0.5,327.7,0,0.2193648,0.07312159,-1.13136,-1.131324,-1.131342,-1.05822
"2016-05-08 07:00:00",33,12.14,0,NaN,12.63,94.9,0.359,0.552,180.8,0,0.219359,0.07311968,-1.131308,-0.5656474,-0.9427508,-0.8696312
"2016-05-08 07:15:00",34,12.29,0,NaN,12.8,94.6,0.24,0.279,272,0,0,0,-1.414111,-1.131293,-1.225569,-1.225569
"2016-05-08 07:30:00",35,12.42,0,NaN,12.81,94.9,0.184,0.236,327.5,0,0,0,-1.131287,-1.131286,-1.131286,-1.131286
"2016-05-08 07:45:00",36,12.53,0,NaN,12.85,95.1,0.277,0.359,311.1,0,0,0,-1.696928,-1.131286,-1.508381,-1.508381
"2016-05-08 08:00:00",37,12.63,0,NaN,13,94.9,0.224,0.27,29.11,0,0,0,-3.9595,-1.696928,-2.45112,-2.45112
"2016-05-08 08:15:00",38,12.7,0,NaN,13.09,94.4,0.334,0.374,207.2,-0.8774291,-0.4387089,-0.731189,-16.12082,-3.393813,-9.804467,-10.53566
